Number	IsWishList	Title	Description
11279	0	Surface.TrimWithEdgeLoops returns edge geometry with eccentricities	Attempted to return trim surfaces using TrimWithEdgeLoops. A series of trim surfaces with edges that mirror the curve tool used for the trim. Some surfaces had eccentricities along their edges (ie. a curve, originally with a smooth curvature gradient, returned a surface with an edge that was 'bumpy').
11275	0	Default Value for Optional Node Inputs	New nodes default to having Use Default Value turned on for all optional inputs. However, when packages are updated and existing nodes get additional optional inputs, graphs with these existing nodes do not update with Use Default Value turned on. This causes those nodes not to run and graphs to fail. Existing instances of nodes should also default to Use Default Value when package updates introduce additional optional inputs. Nodes get updated without turning on Use Default Value and end up not executing.
10947	0	Crash report from Dynamo 2.3.0.5885	I opened Dynamo Revit the program crashed immediately none
8758	0	Creating lists with syntax list[inds]=vals	Created a list in DS using the format list[x]=y, then if I adjust the number of indices or values, the resulting behaviour is rather unconsistent. I would expect some form of warning when indices don't match values vice versa. A warning when indices and values don't match, and that it updates even if I remove indices/values from the input lists. No update when reducing values/indices. No warning if number of values/indices don't match up.
9476	0	Geometry modification operations do not result in uniquely identifiable topology!	Every time you modify a solid in Dynamo, its edges and faces that get split, inherit the hash code of the original input geometry. New hash code for each element, uniquely different from the hashes of all other hash codes of the specific geometric entity instance. the hashes are the same as the input's:    This is definitely a pretty limited scenario but it's going to a big headache any time we want to modify something in dynamo and later try to rebuild its topological hierarchy. We can't map a face's co-edges to the actual bounding edges, because the hashes for edges that got split up will be doubled or trippled up. So when we try to export a correct Brep representational data from Dynamo to another medium, we'll keep fetching the wrong edges and our edge loops will fail to bind the faces.
43	1	Placement of code blocks not in undo/redo stack	* Placed a couple of nodes * Placed a code block * Placed some more nodes * Hit undo several times The elements disappearing in their order of placements including the empty code block. The elements disappearing in their order of placements except the empty code block.  It appears that code blocks only enter the undo/redo stack once they contain some text (or in other words the event of placing a code block is not recorded). If I place a code block, enter some text into it and then hit undo, the code block disappears (this should be two separate events in the undo/redo stack).  CC @kronz @Racel
9229	0	Node to code creating recursive dependency	Ran node to code A code block A code block that is isolated from the rest of the graph that shows the following warning:  Warning: Variable str1 is used in the same statement that you defined it.  Recursive dependency is not allowed.  Also related to 9228 since it also creates duplicate variables. * Open Core_Strings.dyn from the sample files that ship with Dynamo * Select all  * Run node to code
7445	0	Can't close Dynamo if Run is active	Open file with expensive models (like attached one). Click Run While Run is in progress close Dynamo window by clicking close icon. Dynamo closes immediately. Dynamo hangs forever (because of double lock, when Dynamo waits for scheduler thread, and scheduler thread sends something to main thread dispatcher simultaneously). Sometimes, however, during described steps, Dynamo just crashes.  [LargeModel.zip](
8606	0	Package Manager broken Screws up folder structure and deletes data from JSON file	Publish update to Dynamo Package via the Package Manager An updated package adhering to the folder structure The folder structure is changed (the 'extra' folders dll's get copied to the bin folder (so they appear in both folders) and the XML description file gets put in extras even though it should be in the root directory, i.e. bin).   The other annoying problem it has is wiping the node libraries property from the JSON file, so if the package is then downloaded after updating, nothing appears in the library, so I have to re-publish the package to fix it. This needs to be fixed as its been an ongoing issue now for months.
41	1	UI Request Consistent graphical representation of Empty Lists	Created a list structure with Empty Lists A more graphically-consistent approach towards empty lists in node preview window/Watch nodes Currently, empty lists display as per list item 2. This quick mock-up demonstrates how they could be displayed in a more consistent visual manner (list item 0).     While this representation may be intentional, I find it makes reading list structures more difficult.   Many thanks guys, keep up the great work!   Ollie
9235	0	Node to code converted to a def output ports persist, and Dynamo enters inconsistent state and crash	Node-to-code then modified the resultant code block into a definition and renamed the variables. A definition 1. The code block output ports persist (which were generated from the node to code process) and if the cursor is hovered over them, they report the original names given to the variables  2. The definition will output geometry even though its not called  3. Dynamo will go into an inconsistent state and eventually crash  Node to code:   Modifed to def: Issue 1: Output ports persist   Issue 2: Outputs geometry     Object reference not set to an instance of an object.     at Dynamo.Wpf.ViewModels.Watch3D.HelixWatch3DViewModel.<>c__DisplayClass184_0.<FindIdentifiersForSelectedNodes>b__1(PortModel p)    at System.Linq.Enumerable.WhereSelectEnumerableIterator2.MoveNext()    at System.Linq.Enumerable.<SelectManyIterator>d__172.MoveNext()    at System.Linq.Enumerable.<SelectManyIterator>d__172.MoveNext()    at System.Linq.Buffer1..ctor(IEnumerable1 source)    at System.Linq.Enumerable.ToArray[TSource](IEnumerable1 source)    at Dynamo.Wpf.ViewModels.Watch3D.HelixWatch3DViewModel.ZoomToFit(Object parameter)    at Dynamo.ViewModels.DynamoViewModel.OnRequestViewOperation(ViewOperationEventArgs e)    at MS.Internal.Commands.CommandHelpers.CriticalExecuteCommandSource(ICommandSource commandSource, Boolean userInitiated)    at System.Windows.Controls.Primitives.ButtonBase.OnClick()    at System.Windows.Controls.Button.OnClick()    at System.Windows.Controls.Primitives.ButtonBase.OnMouseLeftButtonUp(MouseButtonEventArgs e)    at System.Windows.RoutedEventArgs.InvokeHandler(Delegate handler, Object target)    at System.Windows.RoutedEventHandlerInfo.InvokeHandler(Object target, RoutedEventArgs routedEventArgs)    at System.Windows.EventRoute.InvokeHandlersImpl(Object source, RoutedEventArgs args, Boolean reRaised)    at System.Windows.UIElement.ReRaiseEventAs(DependencyObject sender, RoutedEventArgs args, RoutedEvent newEvent)    at System.Windows.UIElement.OnMouseUpThunk(Object sender, MouseButtonEventArgs e)    at System.Windows.RoutedEventArgs.InvokeHandler(Delegate handler, Object target)    at System.Windows.RoutedEventHandlerInfo.InvokeHandler(Object target, RoutedEventArgs routedEventArgs)    at System.Windows.EventRoute.InvokeHandlersImpl(Object source, RoutedEventArgs args, Boolean reRaised)    at System.Windows.UIElement.RaiseEventImpl(DependencyObject sender, RoutedEventArgs args)    at System.Windows.UIElement.RaiseTrustedEvent(RoutedEventArgs args)    at System.Windows.Input.InputManager.ProcessStagingArea()    at System.Windows.Input.InputManager.ProcessInput(InputEventArgs input)    at System.Windows.Input.InputProviderSite.ReportInput(InputReport inputReport)    at System.Windows.Interop.HwndMouseInputProvider.ReportInput(IntPtr hwnd, InputMode mode, Int32 timestamp, RawMouseActions actions, Int32 x, Int32 y, Int32 wheel)    at System.Windows.Interop.HwndMouseInputProvider.FilterMessage(IntPtr hwnd, WindowMessage msg, IntPtr wParam, IntPtr lParam, Boolean& handled)    at System.Windows.Interop.HwndSource.InputFilterMessage(IntPtr hwnd, Int32 msg, IntPtr wParam, IntPtr lParam, Boolean& handled)    at MS.Win32.HwndWrapper.WndProc(IntPtr hwnd, Int32 msg, IntPtr wParam, IntPtr lParam, Boolean& handled)    at MS.Win32.HwndSubclass.DispatcherCallbackOperation(Object o)    at System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback, Object args, Int32 numArgs)    at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source, Delegate callback, Object args, Int32 numArgs, Delegate catchHandler)
7004	0	Works, but throws error	Tried to replace an Empty List with a value An error (with nulls in the list) as it would in older versions of Dynamo  (The above screenshot is from 0.9.2) It works as I would like it to, but still throws an error
10980	0	Export Image node returns null on failure	Used the export image node, which when successful returns a null value. Useful data (such as the file object which was exported) A list of null values
10883	0	Crash report from Dynamo 2.3.0.5885	Typed code in a code block Nothing significant Bug Report None
10336	0	Missing Nodes an connectors	After AutoCAD crashing i tried to open autocad and dynamo again. i expected to see my nodes and connecters the whay i left them on the last save attempt random missing nodes and connectors which were in the script in de last save file
7707	0	Continuity Error in Vectors	Tried to filter based off the X and Y Vector numbers. In the FamilyInstance.FacingOrientation node the outputs read as zero, but when I used a Vector.X/Y node, they came in as very small numbers instead (-3.24078139034181e-15) I expected there to be continuity between the nodes. Maybe some form of rounding if the number sits below a certain threshold is warranted? There is a variance in output between the full Vector and the Query node of Vector.X / Vector.Y. This is showcased in the attached image. This also affects the Vector.Normalized node and most likely more.
9906	0	Graph is re-evaluated before UI interaction is complete	It seems that disconnecting a port from a node triggers the graph execution when in automatic mode, even if the UI interaction hasn't finished (click on canvas to completed disconnect or connect to another port).  1. Start debugging the Refinery Toolkits (RT) from VS 2. Open known good graph in Automatic mode - runs fine 3. Disconnect one of the inputs into an RT node (an optional parameter in C method) 4. ArgumentNullException is caught in Visual Studio 5. Click continue in debugger 6. Finish UI interaction by clicking somewhere on canvas to complete port unplug operation I did not expect the graph to be re-evaluated when a UI interaction such as node disconnection or unplug/replug is not yet concluded. Surely it's un-necessary as the graph will never be in a desired state until that interaction is complete, whether it's unplugging or replugging a port.  Re-executing the graph during the UI interaction could negatively impact the responsiveness of the UI as they're not always on separate threads from what i understand (Dynamo Revit). ArgumentNullException is caught in Visual Studio as soon as port is disconnected, meaning execution of that node was just attempted.
10863	0	Groups lose associations with notes when a custom node is created from them	Created a group that contained nodes and notes then made a new custom node from that group. Custom node canvas behave exactly as the home canvas had. It all looked the same, but notes were no longer associated with the groups.
10403	0	Absturzbericht von Dynamo 2.3.0.5885	I tried to build a Dynamo script for placing piers like it is done in the video from autodesk: (minute 41-44) The last node I put in there was Revitutils.CreateFamilyInstance. There is a warning at Corridor.GetFeaturelinesByCode. It says that I should put the geometry to Extra large. When i do this, Dynamo hangs up. When I don´t do this, I get an empty list. I want to see a pier in my Revit model. It worked one time a few hours before with the same script. In this case the report was sended, Dynamo hang up and crashed down. The times before it also crashed but there was also a note that there is a problem with the graphics driver. My second display screen was black. I powered off my computer an started it again. There was still a Problem with the graphics. Both screens showed the same picture instead that I can see some different things on them. Also the size of the symbols were different than normal. After restarting it was normal again. Then I tried again to use the Dynamo script and the same Things happened again.  Since the time after the report the script still doesnt work with this node and when I try to use it, it hangs up again. CivilConnection2020
10460	0	Cannot run UnitTests using Dictionary.ByKeysValues	- Create a new Zero Touch project as c .net framework 4.7 class library - install DynamoVisualProgramming.Core 2.3.0.5885 from nuGet - Create a UnitTest project with the following nuGet packages:   - DynamoVisualProgramming.Core 2.3.0.5885   - DynamoVisualProgramming.Tests 2.3.0.5885   - NUnit 2.7.1   - NUnitTestAdapter 2.2.0 - Add the TestServices.ddl.config file as stated in the [testing gitbook]( - create a unittest c namespace MyTests {     [TestFixture]     public class UnitTests     {         [Test]         [Category(UnitTests)]         public void CanRunUnitTests()         {             var keys = new List<string>() { name, secondName };             var values= new List<object>() { test, secondTest };             var nestedDict = Dictionary.ByKeysValues(nestedKeys, nestedValues);             ...         }     } }  - run the unittest the test suite runs fine Test doesn't succede, the Dictionary.ByKeysValues line raises   System.IO.FileNotFoundException : Cannot load assembly 'System.Collections.Immutable, Version=1.2.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. Cannot find file.   (message translated from italian, so it can be different in english)  I tried to install System.Collections.Immutable from nuGet but nothing changed. Am I doing something wrong or the DynamoVisualPRogramming.Core package needs some checking?
8300	0	Not all nodes removed from a group in Undo/Redo stack	Removed two nodes from this group:  Then hit Undo Then moved the group All nodes belonging to the group again Only one of the nodes re-joined the group. As far as I can tell from my testing, it is always the most recently created node.
